atmospheric density,dyn. pressure,mach,G force,alt(sea),met,vert. speed,ground speed,air speed,intake flow,angle of attack(total),apoapsis alt.,apoapsis time,periapsis alt.,periapsis time,Liquid Fuel,Oxidizer,open cycle thrust,closed cycle thrust
0.0,0.0,0.0,0.00039498126716353,127322.01347600506,30262.230246338528,-29.81320380376,2008.4819767398574,2008.486328125,0.0,-7.3907880783081055,153815.711060751,1298.6902010730912,123608.79487141583,237.25511494411057,286.4844665527344,61.269046783447266,0.0,0.0
0.0,0.0,0.0,0.0003954138664994389,127121.04024819576,30269.03024634486,-29.116964816554464,2009.1374970298152,2009.140380859375,0.0,-6.7198944091796875,153815.711144457,1292.0902011817775,123608.79486464895,230.69511500807266,286.483642578125,61.26802444458008,0.0,0.0
0.0,0.0,0.0,0.0003955862484872341,127039.92006490717,30271.83024634747,-28.825661608997937,2009.4044933403013,2009.4075927734375,0.0,-8.60515022277832,153815.71119488834,1289.2902013225707,123608.79485859664,227.8951151010424,286.4828186035156,61.26703643798828,0.0,0.0
0.0,0.0,0.0,0.0003957633743993938,126957.33634383534,30274.71024635015,-28.52376742392523,2009.676322962495,2009.6795654296875,0.0,-10.143601894378662,153815.711222496,1286.4102015448786,123608.7948559454,225.01511529645722,286.4815979003906,61.26551818847656,0.0,0.0
0.0,0.0,0.0,0.00039594355621375144,126874.49666859873,30277.63024635287,-28.215355119937243,2009.949011337286,2009.9525146484375,0.0,-24.267866373062134,153815.71123918064,1283.4902019855879,123608.79485179961,222.0951157236541,286.4804992675781,61.26416778564453,0.0,0.0
0.0,0.0,0.0,0.00039610054227523506,126796.46864125365,30280.41024635546,-27.91957575212938,2010.2058756191789,2010.2095947265625,0.0,-38.408014953136444,153815.71127517743,1280.710201902204,123608.79486439342,219.31511558790862,286.4794921875,61.262969970703125,0.0,0.0
0.0,0.0,0.0,0.0003962779010180384,126718.16099057859,30283.230246358085,-27.61741562322473,2010.4636744299296,2010.4676513671875,0.0,-34.81363296508789,153815.7112427596,1277.8902022408206,123608.79486461554,216.49511596121965,286.47845458984375,61.26171112060547,0.0,0.0
0.0,0.0,0.0,0.0003964237403124571,126647.81350126641,30285.77024636045,-27.341279437166722,2010.6952791700292,2010.699462890625,0.0,-11.24679946899414,153815.71122352814,1275.3302042053062,123608.79481669061,213.93511799807402,286.4778137207031,61.26091766357422,0.0,0.0
0.0,0.0,0.0,0.00039659638423472643,126572.22382529499,30288.55024636304,-27.039454489739974,2010.944155132377,2010.948486328125,0.0,13.538105010986328,153815.71132297884,1272.550204177298,123608.79482561676,211.15511785327726,286.4769287109375,61.25984191894531,0.0,0.0
0.0,0.0,0.0,0.0003967500233557075,126496.94133929012,30291.350246365648,-26.733418171837688,2011.192031967324,2011.1966552734375,0.0,11.064752578735352,153815.71127172676,1269.750204068201,123608.79484606581,208.35511777737383,286.475341796875,61.25788879394531,0.0,0.0
0.0,0.0,0.0,0.00039690479752607644,126424.10431751108,30294.11024636822,-26.431978983379672,2011.4318683479205,2011.436767578125,0.0,17.117090225219727,153815.7112286361,1267.0102038781808,123608.79486937169,205.61511760867415,286.47320556640625,61.25526809692383,0.0,0.0
0.0,0.0,0.0,0.0003970663237851113,126350.00593638083,30296.930246370845,-26.11973538283396,2011.6758695407082,2011.680908203125,0.0,29.963403701782227,153815.71125958988,1264.1902034607483,123608.79489240947,202.79511713305965,286.4722900390625,61.2541389465332,0.0,0.0
0.0,0.0,0.0,0.0003972233389504254,126277.30705363466,30299.730246373452,-25.80771804538581,2011.915273144915,2011.920654296875,0.0,37.55529594421387,153815.71126900555,1261.3902034344478,123608.79490606219,199.9951170819004,286.4713134765625,61.25294876098633,0.0,0.0
0.0,0.0,0.0,0.00039737485349178314,126204.46490759426,30302.55024637608,-25.48924266279253,2012.1551590377908,2012.1607666015625,0.0,33.34587097167969,153815.7112432432,1258.5502038429408,123608.79490987351,197.15511751404802,286.4702453613281,61.25166320800781,0.0,0.0
0.0,0.0,0.0,0.0003975418512709439,126133.03346519137,30305.370246378705,-25.171039692903545,2012.390409153669,2012.396240234375,0.0,26.665827751159668,153815.71124990715,1255.7302041014352,123608.79491813376,194.33511775646002,286.4692077636719,61.250389099121094,0.0,0.0
0.0,0.0,0.0,0.00039769167779013515,126060.51437958423,30308.290246381424,-24.84178656938917,2012.629251182633,2012.6353759765625,0.0,17.673871994018555,153815.71139853902,1252.8302032131062,123608.79494030983,191.4351166840661,286.4683532714844,61.249351501464844,0.0,0.0
0.0,0.0,0.0,0.0003978491295129061,125988.46288283216,30311.210246384144,-24.508215808640912,2012.8665625126926,2012.873046875,0.0,9.815876007080078,153815.7113711721,1249.9102030945805,123608.7949490248,188.51511658564004,286.4674377441406,61.24823760986328,0.0,0.0
0.0,0.0,0.0,0.00039800297236070037,125917.87185227708,30314.090246386826,-24.174922807317405,2013.099072392424,2013.1058349609375,0.0,4.442353248596191,153815.71132598317,1247.0102024138243,123608.79497100692,185.61511592989154,286.46575927734375,61.24616622924805,0.0,0.0
0.0,0.0,0.0,0.0003981479094363749,125848.25024322397,30316.990246389527,-23.839656056767993,2013.3283974267636,2013.33544921875,0.0,6.488971710205078,153815.71131077723,1244.1102023883836,123608.79497684515,182.715115914546,286.46478271484375,61.24494171142578,0.0,0.0
0.0,0.0,0.0,0.00039828388253226876,125785.24768308655,30319.670246392023,-23.530422354942893,2013.5359268366292,2013.543212890625,0.0,6.451862335205078,153815.7112975131,1241.4502021255923,123608.79499026516,180.05511565158668,286.4638366699219,61.2437858581543,0.0,0.0
0.0,0.0,0.0,0.2847002446651459,125716.66318596771,30322.550246394705,-24.339380164679852,2010.0802822877233,2010.087890625,0.0,5.5058488845825195,149408.0746384589,1272.8457872538747,122971.42178177275,216.88262789151304,284.5682373046875,58.92698287963867,0.0,50526.3125
