atmospheric density,dyn. pressure,mach,G force,alt(sea),met,vert. speed,ground speed,air speed,intake flow,angle of attack(total),apoapsis alt.,apoapsis time,periapsis alt.,periapsis time,Liquid Fuel,Oxidizer,open cycle thrust,closed cycle thrust
0.0,0.0,0.0,0.00036414293572306633,142063.7212557356,4388.184820757713,-36.517380251915796,1957.5013353736254,1957.5369873046875,0.0,-63.39293670654297,150275.92775605014,1714.5125484811454,123409.37333097972,657.0843295782552,289.7957458496094,65.31615447998047,0.0,0.0
0.0,0.0,0.0,0.004181829746812582,141823.9657612982,4394.684820763767,-36.76981382882335,1958.0866148366322,1958.1190185546875,0.0,-46.16231822967529,150182.02613307873,1710.8397214657127,123254.09479011816,653.7396710683624,289.7935791015625,65.3134994506836,0.0,0.0
0.0,0.0,0.0,0.00471113994717598,141726.5985288514,4397.3248207662255,-36.992547037919444,1958.440156880999,1958.47216796875,0.0,-17.405572652816772,150229.68563629675,1707.3731071619027,123255.8741394357,650.2198523013731,289.7924499511719,65.31212615966797,0.0,0.0
0.0,0.0,0.0,0.004411838483065367,141627.10648148484,4400.004820768721,-37.21654845068695,1958.782814832421,1958.814453125,0.0,-13.452839493751526,150270.66116752254,1704.1025296961277,123240.44409855478,646.9217832713275,289.7913818359375,65.3108139038086,0.0,0.0
0.0,0.0,0.0,0.9316976070404053,141525.7668420158,4402.724820771255,-37.21150187902926,1955.3897221771726,1955.4210205078125,0.0,2.903579592704773,148797.64738112083,1747.0398488628603,119756.26229009742,695.1894744868105,287.9733581542969,63.08879852294922,0.0,208421.046875
0.0,0.0,0.0,1.1497877836227417,141432.37003159826,4405.364820773713,-33.799501779094754,1925.8548631078734,1925.8857421875,0.0,3.603595495223999,143748.80167852354,1886.5332833318078,86533.37233696261,875.5319832993323,273.344482421875,45.209041595458984,0.0,202476.78125
0.0,0.0,0.0,2.0711348056793213,141342.71228743403,4408.004820776172,-34.985520414141725,1883.958843961622,1883.9893798828125,0.0,-7.787718296051025,142610.36074710265,1844.5924305247745,37643.966725495295,886.168163725049,252.99191284179688,20.333677291870117,0.0,359999.96875
0.0,0.0,0.0,0.0008108339970931411,141241.7381557033,4410.684820778668,-39.485727140171385,1849.4721282213497,1849.5023193359375,0.0,-4.627193093299866,142392.6442391629,1779.9144941867266,-198.78962404828053,860.8584529388079,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.0003474308177828789,141131.8513782894,4413.404820781201,-41.31335217393864,1849.8512697515132,1849.8812255859375,0.0,-2.5636298656463623,142392.3791335969,1777.202241111428,-197.83030233660247,858.1454868253484,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.00034766719909384847,141018.71451387694,4416.084820783697,-43.11684635688715,1850.2410036749056,1850.2706298828125,0.0,-2.1629269123077393,142392.37913991546,1774.5222410986348,-197.83029677672312,855.4654868003549,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.04523596540093422,140898.00485016417,4418.8448207862675,-45.01808782863028,1849.947164043449,1849.9764404296875,0.0,-2.8035776615142822,142387.5981748657,1770.5419472163321,-940.8317772039445,852.2531428129323,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.0003480253217276186,140779.56763902213,4421.404820788652,-46.78162870487722,1850.213816360247,1850.2427978515625,0.0,-2.9250173568725586,142387.1190506171,1767.7045803307847,-1089.4201307049952,849.5688381245643,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.04518600180745125,140651.73596967838,4424.084820791148,-48.64108226796534,1850.0969679682778,1850.1256103515625,0.0,-2.482936143875122,142382.7142658959,1764.0693147806949,-1671.7533397235675,846.5359513826638,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.04507036134600639,140518.80382644117,4426.764820793644,-50.564716570530166,1849.3751380559345,1849.4034423828125,0.0,-2.367086887359619,142372.70724357665,1759.3849098044418,-2901.9391016529407,843.1243655651756,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.043389931321144104,140384.04180410947,4429.404820796102,-52.34542518298209,1849.8542738807002,1849.88232421875,0.0,-2.0739214420318604,142372.1992859136,1756.8017018720166,-2886.635532664368,840.5259762574149,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.04536383971571922,140240.1753999663,4432.084820798598,-54.21445348328244,1849.1796710119772,1849.2073974609375,0.0,-0.052373409271240234,142354.32766371686,1752.2696788582675,-4096.740223767585,837.2536610794839,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.04434032365679741,140089.12567056157,4434.844820801169,-56.035219239837396,1848.5555164261384,1848.5828857421875,0.0,-0.49785566329956055,142328.8631823262,1747.8800567152643,-5269.938012099592,834.0931179496058,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.04547460749745369,139935.3986853297,4437.524820803665,-57.85902160282641,1847.88244539269,1847.9095458984375,0.0,-4.204139471054077,142302.52783043717,1743.4361822435526,-6500.762878745329,830.937713071206,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.041431974619627,139777.88167062774,4440.204820806161,-59.69748804611561,1847.2630195021522,1847.289794921875,0.0,-2.4488419890403748,142276.9023224417,1739.0704134943408,-7687.81890939537,827.8142531294704,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.00039529817877337337,139609.18980048702,4443.004820808768,-61.661282886066644,1847.4624128371183,1847.4888916015625,0.0,-3.662456214427948,142269.27807994338,1735.7192733639235,-8080.273855064879,824.8728428236566,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.0003497016441542655,139440.12878329016,4445.684820811264,-63.56865683985898,1848.0478481987304,1848.073974609375,0.0,-2.9837315678596497,142269.2780785713,1733.0192734554114,-8080.273849156802,822.1728429104992,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.0003500478924252093,139276.38821617735,4448.244820813648,-65.36051914492742,1848.614932931131,1848.6407470703125,0.0,-3.5407088100910187,142269.2780771961,1730.479273534092,-8080.273847359233,819.6328429887474,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.00035046180710196495,139081.18317927816,4451.1848208163865,-67.43146383948908,1849.2910843259517,1849.3165283203125,0.0,-3.2625612020492554,142269.2780778529,1727.5392736183228,-8080.2738418683875,816.6928430666826,236.2781524658203,0.0,0.0,0.0
0.0,0.0,0.0,0.00035088611184619367,138881.2844241677,4454.104820819106,-69.48492212076958,1849.9836023873033,1850.0086669921875,0.0,-3.589881718158722,142269.2780733034,1724.6192737492202,-8080.2738480907865,813.7728432086108,236.2781524658203,0.0,0.0,0.0
